State,Stand_Age,Stand_Origin,Forest_type_group,tC,ac,tC_ac
Louisiana,0-20 years,Natural,Elm_ash_cottonwood_group,11474461.00,325640.00,35.24
Oklahoma,0-20 years,Planted,Loblolly_shortleaf pine group,13111247.00,371579.00,35.29
Texas,0-20 years,Natural,Oak_gum_cypress group,13226843.00,373736.00,35.39
Oklahoma,0-20 years,Total,Loblolly_shortleaf pine group,15578171.00,439696.00,35.43
Texas,41-60 years,Natural,Oak_hickory group,174007731.00,4909493.00,35.44
Texas,41-60 years,Total,Oak_hickory group,174007731.00,4909493.00,35.44
Texas,0-20 years,Total,Longleaf_slash pine group,80836.00,2280.00,35.45
Missouri,0-20 years,Natural,Oak_hickory group,7772613.00,219204.00,35.46
Tennessee,0-20 years,Total,Total,69024634.00,1945752.00,35.47
Texas,100+ years,Natural,Pinyon_juniper group,3000138.00,84545.00,35.49
Texas,100+ years,Total,Pinyon_juniper group,3000138.00,84545.00,35.49
Oklahoma,21-40 years,Natural,Total,100375377.00,2826600.00,35.51
Florida,Total,Planted,Oak_hickory_group,2958257.00,83191.00,35.56
South Carolina,Total,Total,Other eastern softwoods group,1209250.00,33917.00,35.65
Virginia,0-20 years,Planted,Maple_beech_birch group,324225.00,9088.00,35.68
Virginia,Total,Planted,Maple_beech_birch group,324225.00,9088.00,35.68
Georgia,41-60 years,Planted,Oak_hickory group,328341.00,9200.00,35.69
Missouri,0-20 years,Total,Oak_hickory group,8323283.00,233030.00,35.72
Alabama,Total,Total,Other_eastern_softwoods_group,2427047.00,67929.00,35.73
Oklahoma,Total,Natural,Woodland hardwoods group,14860606.00,415719.00,35.75
Oklahoma,Total,Total,Woodland hardwoods group,14860606.00,415719.00,35.75
Oklahoma,41-60 years,Natural,Other eastern softwoods group,4221368.00,117764.00,35.85
Oklahoma,41-60 years,Total,Other eastern softwoods group,4221368.00,117764.00,35.85
Texas,0-20 years,Natural,Longleaf_slash pine group,74228.00,2069.00,35.88
Oklahoma,Total,Planted,Oak_hickory group,2410380.00,67155.00,35.89
South Carolina,0-20 years,Natural,Oak_hickory group,26256907.00,731412.00,35.90
North Carolina,0-20 years,Total,Oak_hickory group,-,-,36.03
Texas,21-40 years,Natural,Woodland hardwoods group,312865314.00,8676958.00,36.06
Texas,21-40 years,Total,Woodland hardwoods group,312865314.00,8676958.00,36.06
South Carolina,0-20 years,Total,Oak_hickory group,28629493.00,792450.00,36.13
Tennessee,0-20 years,Natural,Oak_pine_group,3882159.00,107287.00,36.18
Texas,0-20 years,Natural,Oak_pine group,11605862.00,320737.00,36.19
