State,Stand_Age,Stand_Origin,Forest type group,tC,ac,tC_ac
Tennessee,100+ years,Total,Oak hickory group,30216250,380485,79.42
Tennessee,81-100 years,Natural,Elm ash cottonwood group,4660042,58624,79.49
Tennessee,81-100 years,Total,Elm ash cottonwood group,4660042,58624,79.49
Tennessee,61-80 years,Planted,Total,2070446,25936,79.83
Tennessee,100+ years,Natural,Total,38132565,477225,79.9
Tennessee,100+ years,Total,Total,38132565,477225,79.9
Tennessee,Total,Natural,Oak gum cypress group,28110247,351545,79.96
Tennessee,61-80 years,Natural,Oak gum cypress group,11088881,132644,83.6
Tennessee,61-80 years,Total,Oak gum cypress group,11088881,132644,83.6
Tennessee,81-100 years,Natural,White red jack pine group,1542718,17563,87.84
Tennessee,81-100 years,Total,White red jack pine group,1542718,17563,87.84
Tennessee,Total,Total,White red jack pine group,5339078,59833,89.23
Tennessee,81-100 years,Natural,Oak gum cypress group,5846835,64947,90.02
Tennessee,81-100 years,Total,Oak gum cypress group,5846835,64947,90.02
Tennessee,100+ years,Natural,White red jack pine group,303110,3320,91.31
Tennessee,100+ years,Total,White red jack pine group,303110,3320,91.31
Tennessee,61-80 years,Planted,Oak pine group,347826,3766,92.37
Tennessee,Total,Natural,White red jack pine group,5048799,54532,92.58
Tennessee,41-60 years,Natural,White red jack pine group,550653,5909,93.18
Tennessee,41-60 years,Total,White red jack pine group,550653,5909,93.18
Tennessee,61-80 years,Natural,White red jack pine group,2576173,26684,96.54
Tennessee,61-80 years,Total,White red jack pine group,2576173,26684,96.54
Tennessee,41-60 years,Planted,Loblolly shortleaf pine group,1249740,12759,97.95
Tennessee,41-60 years,Planted,Total,2530470,25766,98.21
Tennessee,41-60 years,Planted,Oak pine group,1280730,13007,98.46
Tennessee,100+ years,Natural,Oak gum cypress group,2338453,19915,117.42
Tennessee,100+ years,Total,Oak gum cypress group,2338453,19915,117.42
Tennessee,0-20 years,Natural,White red jack pine group,-,-,-
Tennessee,0-20 years,Planted,Exotic hardwoods group,-,-,-
Tennessee,0-20 years,Planted,Maple beech birch group,-,-,-
Tennessee,0-20 years,Planted,Nonstocked,-,-,-
Tennessee,0-20 years,Planted,Other eastern softwoods group,-,-,-
Tennessee,0-20 years,Planted,Other hardwoods group,-,-,-
Tennessee,100+ years,Natural,Exotic hardwoods group,-,-,-
Tennessee,100+ years,Natural,Loblolly shortleaf pine group,-,-,-
Tennessee,100+ years,Natural,Nonstocked,-,-,-
Tennessee,100+ years,Natural,Other eastern softwoods group,-,-,-
Tennessee,100+ years,Planted,Elm ash cottonwood group,-,-,-
