Measurement,Type,State,Forest type,Total,0-20 years,21-40 years,41-60 years,61-80 years,81-100 years,100-120 years,121-140 years,141-160 years,161-180 years,181-200 years,500+ years
acres,ALL,KY,Mixed upland hardwoods,781405.00,95904.00,153453.00,326301.00,184283.00,21464.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Swamp chestnut oak / cherrybark oak,51902.00,0.00,10574.00,19746.00,19963.00,1619.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Sweetgum / Nuttall oak / willow oak,12438.00,0.00,0.00,0.00,4801.00,0.00,7637.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Overcup oak / water hickory,20325.00,0.00,1989.00,9316.00,3211.00,5809.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Baldcypress / water tupelo,9546.00,0.00,0.00,0.00,9546.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Sweetbay / swamp tupelo / red maple,14776.00,0.00,0.00,5674.00,9102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Black ash / American elm / red maple,5674.00,0.00,0.00,0.00,5674.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,River birch / sycamore,140273.00,7897.00,23129.00,79024.00,30046.00,0.00,177.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Cottonwood,14426.00,6790.00,0.00,7637.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Willow,12417.00,3228.00,5877.00,2058.00,1255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Sycamore / pecan / American elm,184045.00,2735.00,31103.00,109352.00,34379.00,6477.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Sugarberry / hackberry / elm / green ash,284423.00,25824.00,56810.00,120927.00,76529.00,4333.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Silver maple / American elm,61403.00,0.00,6738.00,28696.00,16892.00,9077.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Red maple / lowland,23874.00,5777.00,0.00,16544.00,1553.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Cottonwood / willow,18626.00,6208.00,0.00,9313.00,0.00,3106.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Sugar maple / beech / yellow birch,826617.00,1553.00,50124.00,266868.00,397417.00,91532.00,19123.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Black cherry,10761.00,3196.00,7565.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Hard maple / basswood,225734.00,11102.00,17813.00,95376.00,71626.00,17120.00,12696.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Red maple / upland,4271.00,1357.00,2914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Other hardwoods,17230.00,0.00,1455.00,6352.00,6518.00,2904.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Paulownia,7856.00,1444.00,3235.00,1588.00,0.00,1588.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Other exotic hardwoods,23697.00,3117.00,14493.00,6087.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,KY,Nonstocked,38987.00,38987.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Total,12371540.00,736028.00,1534905.00,4660645.00,4285400.00,1014120.00,139150.00,0.00,0.00,1291.00,0.00,0.00
acres,NATURAL,KY,Eastern white pine,30932.00,0.00,11279.00,19653.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Eastern hemlock,14843.00,0.00,0.00,6132.00,8711.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Loblolly pine,40754.00,3250.00,14819.00,17593.00,5092.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Shortleaf pine,9628.00,0.00,2621.00,5393.00,1615.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Virginia pine,105459.00,20450.00,42193.00,26121.00,16695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Pitch pine,22907.00,0.00,16449.00,0.00,0.00,6459.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Eastern redcedar,195927.00,26472.00,95881.00,63754.00,8200.00,1619.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Eastern white pine / northern red oak / white ash,17088.00,0.00,12531.00,3036.00,1520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Eastern redcedar / hardwood,294491.00,22973.00,76951.00,166728.00,24935.00,2904.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Shortleaf pine / oak,20576.00,0.00,4567.00,14491.00,0.00,1518.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Virginia pine / southern red oak,149547.00,1577.00,39628.00,50106.00,52184.00,6051.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Loblolly pine / hardwood,15071.00,163.00,7413.00,7495.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Other pine / hardwood,15921.00,0.00,2249.00,8829.00,3229.00,0.00,1615.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Post oak / blackjack oak,125115.00,3238.00,8768.00,58952.00,38147.00,16009.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Chestnut oak,356845.00,9388.00,11223.00,89747.00,164831.00,76892.00,4764.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,White oak / red oak / hickory,3749469.00,70756.00,217340.00,1436378.00,1590588.00,390508.00,43900.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,White oak,506735.00,7918.00,1603.00,141777.00,234065.00,81820.00,38262.00,0.00,0.00,1291.00,0.00,0.00
acres,NATURAL,KY,Northern red oak,43226.00,0.00,0.00,8997.00,20972.00,13257.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Yellow-poplar / white oak / northern red oak,938503.00,54532.00,109816.00,390025.00,323075.00,61056.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sassafras / persimmon,93492.00,10760.00,37639.00,28795.00,6391.00,9906.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sweetgum / yellow-poplar,244392.00,22880.00,56970.00,104199.00,51429.00,8914.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Scarlet oak,67515.00,2462.00,0.00,15883.00,31768.00,17403.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Yellow-poplar,319417.00,32066.00,80540.00,139643.00,51726.00,9231.00,6212.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Black walnut,44480.00,4684.00,17444.00,10766.00,11587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Black locust,88606.00,40298.00,40196.00,6660.00,1452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Chestnut oak / black oak / scarlet oak,1040776.00,26746.00,54570.00,326159.00,500941.00,127595.00,4764.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Cherry / white ash / yellow-poplar,434149.00,26954.00,86324.00,181080.00,133581.00,6212.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Elm / ash / black locust,513191.00,131800.00,89169.00,188952.00,97668.00,5602.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Red maple / oak,101850.00,14110.00,15260.00,32447.00,33900.00,6132.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Mixed upland hardwoods,773899.00,95904.00,147644.00,326301.00,182586.00,21464.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Swamp chestnut oak / cherrybark oak,51902.00,0.00,10574.00,19746.00,19963.00,1619.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sweetgum / Nuttall oak / willow oak,12438.00,0.00,0.00,0.00,4801.00,0.00,7637.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Overcup oak / water hickory,20325.00,0.00,1989.00,9316.00,3211.00,5809.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Baldcypress / water tupelo,9546.00,0.00,0.00,0.00,9546.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sweetbay / swamp tupelo / red maple,14776.00,0.00,0.00,5674.00,9102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Black ash / American elm / red maple,5674.00,0.00,0.00,0.00,5674.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,River birch / sycamore,140273.00,7897.00,23129.00,79024.00,30046.00,0.00,177.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Cottonwood,7637.00,0.00,0.00,7637.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Willow,12417.00,3228.00,5877.00,2058.00,1255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sycamore / pecan / American elm,184045.00,2735.00,31103.00,109352.00,34379.00,6477.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sugarberry / hackberry / elm / green ash,284423.00,25824.00,56810.00,120927.00,76529.00,4333.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Silver maple / American elm,61403.00,0.00,6738.00,28696.00,16892.00,9077.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Red maple / lowland,18097.00,0.00,0.00,16544.00,1553.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Cottonwood / willow,18626.00,6208.00,0.00,9313.00,0.00,3106.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Sugar maple / beech / yellow birch,826617.00,1553.00,50124.00,266868.00,397417.00,91532.00,19123.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Black cherry,10761.00,3196.00,7565.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Hard maple / basswood,225734.00,11102.00,17813.00,95376.00,71626.00,17120.00,12696.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Red maple / upland,4271.00,1357.00,2914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Other hardwoods,17230.00,0.00,1455.00,6352.00,6518.00,2904.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Paulownia,7856.00,1444.00,3235.00,1588.00,0.00,1588.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Other exotic hardwoods,23697.00,3117.00,14493.00,6087.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,KY,Nonstocked,38987.00,38987.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Total,49819.00,38129.00,9992.00,0.00,1697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Eastern white pine,4876.00,4858.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Loblolly pine,11802.00,7637.00,4165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Loblolly pine / hardwood,6208.00,6208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Black walnut,1552.00,1552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Elm / ash / black locust,5308.00,5308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Mixed upland hardwoods,7506.00,0.00,5809.00,0.00,1697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Cottonwood,6790.00,6790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,KY,Red maple / lowland,5777.00,5777.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Total,15062759.00,5575171.00,3438543.00,2770620.00,2601980.00,596938.00,73575.00,5932.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Longleaf pine,181613.00,19741.00,39562.00,41832.00,62894.00,17585.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Slash pine,550361.00,310821.00,183510.00,23993.00,26954.00,5083.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Loblolly pine,5249339.00,2697521.00,1782621.00,466958.00,251333.00,44694.00,6211.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Shortleaf pine,34306.00,0.00,5820.00,24037.00,4449.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Spruce pine,11706.00,5568.00,0.00,0.00,0.00,6138.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Eastern redcedar / hardwood,6740.00,1622.00,0.00,5119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Longleaf pine / oak,25130.00,14261.00,0.00,10870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Shortleaf pine / oak,35543.00,11022.00,1483.00,4684.00,18355.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Loblolly pine / hardwood,1042416.00,409307.00,189528.00,277769.00,140952.00,24860.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Slash pine / hardwood,14085.00,6211.00,639.00,2106.00,5129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Other pine / hardwood,23547.00,0.00,2064.00,16880.00,4604.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Post oak / blackjack oak,72493.00,23395.00,12555.00,31414.00,0.00,5129.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,White oak / red oak / hickory,228083.00,54801.00,29298.00,55109.00,81446.00,1496.00,0.00,5932.00,0.00,0.00,0.00,0.00
acres,ALL,LA,White oak,83006.00,13553.00,9445.00,8907.00,40477.00,5495.00,5129.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Yellow-poplar / white oak / northern red oak,281.00,281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Sassafras / persimmon,56590.00,50379.00,0.00,0.00,6211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Sweetgum / yellow-poplar,252202.00,123457.00,62970.00,47442.00,18333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Yellow-poplar,2217.00,0.00,0.00,0.00,2217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Southern scrub oak,1582.00,0.00,0.00,0.00,1582.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Cherry / white ash / yellow-poplar,15477.00,10818.00,0.00,0.00,4658.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Elm / ash / black locust,104286.00,72843.00,8300.00,12295.00,10848.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Red maple / oak,12342.00,8968.00,3375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Mixed upland hardwoods,945078.00,385837.00,173802.00,191291.00,161026.00,26910.00,6211.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Swamp chestnut oak / cherrybark oak,233559.00,43868.00,17036.00,74652.00,82370.00,15632.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Sweetgum / Nuttall oak / willow oak,1788519.00,302815.00,293869.00,496840.00,547461.00,140726.00,6807.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Overcup oak / water hickory,497623.00,45595.00,63653.00,129959.00,191217.00,56325.00,10874.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Baldcypress / water tupelo,1097237.00,13942.00,63626.00,307535.00,506484.00,171758.00,33892.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Sweetbay / swamp tupelo / red maple,341134.00,74334.00,81860.00,50971.00,122721.00,11247.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Baldcypress / pondcypress,31659.00,5568.00,0.00,12319.00,13772.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,River birch / sycamore,108291.00,18597.00,42906.00,33554.00,10536.00,2698.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Cottonwood,9025.00,0.00,7419.00,0.00,1606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Willow,184980.00,94231.00,55917.00,23370.00,11461.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Sycamore / pecan / American elm,337024.00,59591.00,45192.00,100092.00,97352.00,34797.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Sugarberry / hackberry / elm / green ash,866330.00,224884.00,189283.00,259243.00,163181.00,25291.00,4449.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Red maple / lowland,35532.00,20608.00,572.00,13277.00,0.00,1075.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Cottonwood / willow,9698.00,4865.00,0.00,4833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Other hardwoods,15020.00,6992.00,0.00,8028.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Other exotic hardwoods,392009.00,272181.00,72237.00,35241.00,12349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,LA,Nonstocked,166692.00,166692.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Total,10438808.00,2279529.00,2247496.00,2680655.00,2571310.00,580311.00,73575.00,5932.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Longleaf pine,161110.00,9607.00,29192.00,41832.00,62894.00,17585.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Slash pine,126060.00,48225.00,44927.00,17782.00,15125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Loblolly pine,1927038.00,499699.00,759686.00,395800.00,232491.00,33150.00,6211.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Shortleaf pine,34306.00,0.00,5820.00,24037.00,4449.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Spruce pine,11706.00,5568.00,0.00,0.00,0.00,6138.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Eastern redcedar / hardwood,1622.00,1622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Longleaf pine / oak,16855.00,5985.00,0.00,10870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Shortleaf pine / oak,30733.00,6211.00,1483.00,4684.00,18355.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Loblolly pine / hardwood,780260.00,160688.00,181922.00,271837.00,140952.00,24860.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Slash pine / hardwood,9427.00,1553.00,639.00,2106.00,5129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Other pine / hardwood,23547.00,0.00,2064.00,16880.00,4604.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Post oak / blackjack oak,62094.00,12997.00,12555.00,31414.00,0.00,5129.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,White oak / red oak / hickory,219197.00,45915.00,29298.00,55109.00,81446.00,1496.00,0.00,5932.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,White oak,83006.00,13553.00,9445.00,8907.00,40477.00,5495.00,5129.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Yellow-poplar / white oak / northern red oak,281.00,281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Sassafras / persimmon,37178.00,30966.00,0.00,0.00,6211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Sweetgum / yellow-poplar,238745.00,110001.00,62970.00,47442.00,18333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Yellow-poplar,2217.00,0.00,0.00,0.00,2217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Southern scrub oak,1582.00,0.00,0.00,0.00,1582.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Cherry / white ash / yellow-poplar,15477.00,10818.00,0.00,0.00,4658.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Elm / ash / black locust,83577.00,52133.00,8300.00,12295.00,10848.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Red maple / oak,10808.00,7433.00,3375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Mixed upland hardwoods,830010.00,272161.00,172410.00,191291.00,161026.00,26910.00,6211.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Swamp chestnut oak / cherrybark oak,208573.00,18882.00,17036.00,74652.00,82370.00,15632.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Sweetgum / Nuttall oak / willow oak,1634537.00,153663.00,289039.00,496840.00,547461.00,140726.00,6807.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Overcup oak / water hickory,463937.00,11909.00,63653.00,129959.00,191217.00,56325.00,10874.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Baldcypress / water tupelo,1089506.00,6211.00,63626.00,307535.00,506484.00,171758.00,33892.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Sweetbay / swamp tupelo / red maple,335803.00,69003.00,81860.00,50971.00,122721.00,11247.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Baldcypress / pondcypress,31659.00,5568.00,0.00,12319.00,13772.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,River birch / sycamore,108291.00,18597.00,42906.00,33554.00,10536.00,2698.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Cottonwood,9025.00,0.00,7419.00,0.00,1606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Willow,180793.00,90044.00,55917.00,23370.00,11461.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Sycamore / pecan / American elm,310916.00,35028.00,45192.00,98547.00,97352.00,34797.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Sugarberry / hackberry / elm / green ash,786668.00,150554.00,183952.00,259243.00,163181.00,25291.00,4449.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Red maple / lowland,35532.00,20608.00,572.00,13277.00,0.00,1075.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Cottonwood / willow,9698.00,4865.00,0.00,4833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Other hardwoods,15020.00,6992.00,0.00,8028.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Other exotic hardwoods,376638.00,256811.00,72237.00,35241.00,12349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,LA,Nonstocked,135376.00,135376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Total,4623951.00,3295641.00,1191047.00,89964.00,30670.00,16627.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Longleaf pine,20504.00,10133.00,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Slash pine,424301.00,262596.00,138583.00,6211.00,11829.00,5083.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Loblolly pine,3322301.00,2197822.00,1022935.00,71158.00,18842.00,11545.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Eastern redcedar / hardwood,5119.00,0.00,0.00,5119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Longleaf pine / oak,8276.00,8276.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Shortleaf pine / oak,4810.00,4810.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Loblolly pine / hardwood,262156.00,248618.00,7606.00,5932.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Slash pine / hardwood,4658.00,4658.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Post oak / blackjack oak,10399.00,10399.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,White oak / red oak / hickory,8886.00,8886.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Sassafras / persimmon,19413.00,19413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Sweetgum / yellow-poplar,13456.00,13456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Elm / ash / black locust,20709.00,20709.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Red maple / oak,1535.00,1535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Mixed upland hardwoods,115068.00,113676.00,1392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Swamp chestnut oak / cherrybark oak,24986.00,24986.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Sweetgum / Nuttall oak / willow oak,153982.00,149151.00,4830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Overcup oak / water hickory,33686.00,33686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,LA,Baldcypress / water tupelo,7731.00,7731.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
